flight_number,airline,flight_date,direction,scheduled_time_local,scheduled_time_utc,actual_time_local,actual_time_utc,status,is_cancelled,origin_icao,origin_iata,destination_icao,destination_iata,aircraft_model,aircraft_reg,relevant_timestamp,actual_temp_c,actual_wind_speed_kmh,actual_wind_gusts_kmh,actual_precipitation_mm,actual_snowfall_cm,actual_visibility_m,actual_cloud_cover_pct,actual_weather_code,forecast_temp_c,forecast_wind_speed_kmh,forecast_wind_gusts_kmh,forecast_precipitation_mm,forecast_snowfall_cm,forecast_visibility_m,forecast_cloud_cover_pct,forecast_weather_code,forecast_error_visibility_m,forecast_error_wind_kmh,forecast_error_snowfall_cm
AS 2153,Alaska,2025-06-06,Departure,2025-06-06 13:43-07:00,2025-06-06 20:43Z,2025-06-06 14:11-07:00,2025-06-06 21:11Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N636QX,2025-06-06T14:00:00,25.1,18.1,36.4,0.0,0.0,,97,3,,,,,,,,,,,
AS 2054,Alaska,2025-06-06,Departure,2025-06-06 19:23-07:00,2025-06-07 02:23Z,2025-06-06 19:45-07:00,2025-06-07 02:45Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N622QX,2025-06-06T19:00:00,21.2,10.6,20.9,0.0,0.0,,75,2,,,,,,,,,,,
AS 2152,Alaska,2025-06-06,Arrival,2025-06-06 13:03-07:00,2025-06-06 20:03Z,2025-06-06 13:10-07:00,2025-06-06 20:10Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N636QX,2025-06-06T13:00:00,24.4,13.0,28.4,0.0,0.0,,9,0,,,,,,,,,,,
AS 2053,Alaska,2025-06-06,Arrival,2025-06-06 18:43-07:00,2025-06-07 01:43Z,2025-06-06 18:49-07:00,2025-06-07 01:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N622QX,2025-06-06T19:00:00,21.2,10.6,20.9,0.0,0.0,,75,2,,,,,,,,,,,
AS 2364,Alaska,2025-06-06,Arrival,2025-06-06 23:58-07:00,2025-06-07 06:58Z,2025-06-06 23:49-07:00,2025-06-07 06:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N628QX,2025-06-07T00:00:00,17.8,7.9,15.8,0.0,0.0,,100,3,,,,,,,,,,,
AS 2067,Alaska,2025-06-07,Departure,2025-06-07 06:03-07:00,2025-06-07 13:03Z,2025-06-07 06:07-07:00,2025-06-07 13:07Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N628QX,2025-06-07T06:00:00,16.5,10.5,18.4,0.0,0.0,,78,2,,,,,,,,,,,
AS 2153,Alaska,2025-06-07,Departure,2025-06-07 13:43-07:00,2025-06-07 20:43Z,2025-06-07 13:55-07:00,2025-06-07 20:55Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N660QX,2025-06-07T14:00:00,25.8,8.8,22.7,0.0,0.0,,81,3,,,,,,,,,,,
AS 2152,Alaska,2025-06-07,Arrival,2025-06-07 13:03-07:00,2025-06-07 20:03Z,2025-06-07 12:50-07:00,2025-06-07 19:50Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N660QX,2025-06-07T13:00:00,25.4,8.9,25.2,0.0,0.0,,24,1,,,,,,,,,,,
AS 2364,Alaska,2025-06-07,Arrival,2025-06-07 23:58-07:00,2025-06-08 06:58Z,2025-06-07 23:37-07:00,2025-06-08 06:37Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N647QX,2025-06-08T00:00:00,18.6,3.7,10.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-08,Departure,2025-06-08 06:03-07:00,2025-06-08 13:03Z,2025-06-08 06:02-07:00,2025-06-08 13:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N647QX,2025-06-08T06:00:00,17.9,4.8,8.6,0.0,0.0,,0,0,,,,,,,,,,,
